	1	2	3	4	5
count	2636.0	2636.0	2636.0	2636.0	2636.0
mean	7.52427921093	9.85280728376	0.0280728376328	9.88922610015	13.7435508346
std	0.874571433241	0.539480819397	0.413217398716	0.467401887236	0.838051495428
min	4.0	4.0	0.0	6.0	6.0
25%	8.0	10.0	0.0	10.0	14.0
50%	8.0	10.0	0.0	10.0	14.0
75%	8.0	10.0	0.0	10.0	14.0
max	8.0	10.0	8.0	10.0	14.0
