	1	2	3	4	5
count	2981.0	2981.0	2981.0	2981.0	2981.0
mean	7.56122106676	9.79000335458	0.0409258638041	9.80073800738	13.8383092922
std	0.887284741892	0.634717635251	0.48570402946	0.605799260278	0.627679512234
min	4.0	6.0	0.0	6.0	4.0
25%	8.0	10.0	0.0	10.0	14.0
50%	8.0	10.0	0.0	10.0	14.0
75%	8.0	10.0	0.0	10.0	14.0
max	8.0	10.0	10.0	10.0	14.0
