	1	2	3	4	5
count	11356.0	11356.0	11356.0	11356.0	11356.0
mean	6.09616061994	9.87566044382	6.65885875308	9.92321239873	13.8483620993
std	0.51185785908	0.500851986288	2.26353590368	0.404840941274	0.652798031162
min	2.0	6.0	0.0	4.0	4.0
25%	6.0	10.0	6.0	10.0	14.0
50%	6.0	10.0	8.0	10.0	14.0
75%	6.0	10.0	8.0	10.0	14.0
max	8.0	10.0	14.0	10.0	14.0
