	1	2	3	4	5
count	17378.0	17378.0	17378.0	17378.0	17378.0
mean	7.0527103234	9.41282080792	0.0391299343998	9.65565657728	13.6192887559
std	1.11886925466	0.965552257576	0.496137561549	0.782625132542	0.891450198082
min	2.0	4.0	0.0	4.0	0.0
25%	6.0	8.0	0.0	10.0	14.0
50%	8.0	10.0	0.0	10.0	14.0
75%	8.0	10.0	0.0	10.0	14.0
max	8.0	10.0	12.0	10.0	14.0
