	1	2	3	4	5
count	2658.0	2658.0	2658.0	2658.0	2658.0
mean	7.90970654628	9.84650112867	0.0617005267118	9.79232505643	13.655379985
std	0.460044331579	0.546440378383	0.69998685767	0.659992652629	1.00662615883
min	2.0	6.0	0.0	4.0	0.0
25%	8.0	10.0	0.0	10.0	14.0
50%	8.0	10.0	0.0	10.0	14.0
75%	8.0	10.0	0.0	10.0	14.0
max	8.0	10.0	12.0	10.0	14.0
