	1	2	3	4	5
count	8179.0	8179.0	8179.0	8179.0	8179.0
mean	7.8322533317	9.32803521213	0.0249419244406	9.50213962587	13.6094877124
std	0.590320095375	0.994659346306	0.426974982903	0.904102802666	0.974403627928
min	2.0	2.0	0.0	4.0	0.0
25%	8.0	8.0	0.0	10.0	14.0
50%	8.0	10.0	0.0	10.0	14.0
75%	8.0	10.0	0.0	10.0	14.0
max	8.0	10.0	12.0	10.0	14.0
